Uncertainty,Type,ttHH,ttlf,ttcc,ttnb,ttmb,ttH,ttZZ,ttZH,ttZ
L1Prefiring,shape,1,1,1,1,1,1,1,1,1
lumi_13TeV,lnN,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012
QCDscale_ttHH,lnN,0.957/1.015,-,-,-,-,-,-,-,-
QCDscale_ttH,lnN,-,-,-,-,-,0.907/1.059,-,-,-
QCDscale_ttbar,lnN,-,0.965/1.024,0.965/1.024,0.700/1.300,0.965/1.024,-,0.900/1.052,0.932/1.019,0.887/1.096
pdf_Higgs_ttH,lnN,-,-,-,-,-,1.036,-,-,-
pdf_Higgs_ttHH,lnN,1.032,-,-,-,-,-,-,-,-
pdf_gg,lnN,-,1.042,1.042,1.035,1.042,-,1.026,1.03,1.028
effTrigger_mu_2016preVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2016preVFP,shape,1,1,1,1,1,1,1,1,1
eff_mu_2016preVFP,shape,1,1,1,1,1,1,1,1,1
eff_e_2016preVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_mu_2016postVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2016postVFP,shape,1,1,1,1,1,1,1,1,1
eff_mu_2016postVFP,shape,1,1,1,1,1,1,1,1,1
eff_e_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lf,shape,1,1,1,1,1,1,1,1,1
btag_hf,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_cferr1,shape,1,1,1,1,1,1,1,1,1
btag_cferr2,shape,1,1,1,1,1,1,1,1,1
PU,shape,1,1,1,1,1,1,1,1,1
JES,lnN,0.969/1.027,0.900/1.058,0.9233/1.0596,0.9464/1.0426,0.9379/1.05513,0.945/1.053,0.963/1.033,0.970/1.029,0.948/1.053
JER_2016postvfp,lnN,1.0012/0.9981,0.9820/0.9923,0.9964/1.0024,0.9968/0.9929,1.0015/0.9983,1.0006/0.9987,1.0014/0.9982,1.0020/0.9987,0.9987/0.9956
PDF,shape,-,1,1,-,-,1,-,-,-
PDF_ttbbNLO,shape,-,-,-,-,1,-,-,-,-
scaleMuR,shape,-,1,1,-,1,-,-,-,-
scaleMuR_ttbbNLO,shape,-,1,1,-,1,-,-,-,-
scaleMuR_ttH,shape,-,-,-,-,-,1,-,-,-
scaleMuF,shape,-,1,1,-,1,-,-,-,-
scaleMuF_ttbbNLO,shape,-,1,1,-,1,-,-,-,-
scaleMuF_ttH,shape,-,-,-,-,-,1,-,-,-
FSR_ttH,shape,-,-,-,-,-,1,-,-,-
ISR_ttH,shape,-,-,-,-,-,1,-,-,-
ISR_ttcc,shape,-,1,1,-,1,-,-,-,-
ISR_ttlf,shape,-,1,1,-,1,-,-,-,-
FSR_ttcc,shape,-,1,1,-,1,-,-,-,-
FSR_ttlf,shape,-,1,1,-,1,-,-,-,-
FSR_ttbb,shape,-,1,1,-,1,-,-,-,-
ISR_ttbb,shape,-,1,1,-,1,-,-,-,-
