Uncertainty,Type,ttHH,ttlf,ttcc,ttnb,ttmb,ttH,ttZZ,ttZH,ttZ
L1Prefiring,shape,1,1,1,1,1,1,1,1,1
lumi_13TeV,lnN,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016
QCDscale_ttHH,lnN,0.957/1.015,-,-,-,-,-,-,-,-
QCDscale_ttH,lnN,-,-,-,-,-,0.907/1.059,-,-,-
QCDscale_ttbar,lnN,-,0.965/1.024,0.965/1.024,0.700/1.300,0.965/1.024,-,0.900/1.052,0.932/1.019,0.887/1.096
pdf_Higgs_ttH,lnN,-,-,-,-,-,1.036,-,-,-
pdf_Higgs_ttHH,lnN,1.032,-,-,-,-,-,-,-,-
pdf_gg,lnN,-,1.042,1.042,1.035,1.042,-,1.026,1.03,1.028
effTrigger_mu_2018,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2018,shape,1,1,1,1,1,1,1,1,1
eff_mu_2018,shape,1,1,1,1,1,1,1,1,1
eff_e_2018,shape,1,1,1,1,1,1,1,1,1
effTrigger_mu_2017,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2017,shape,1,1,1,1,1,1,1,1,1
eff_mu_2017,shape,1,1,1,1,1,1,1,1,1
eff_e_2017,shape,1,1,1,1,1,1,1,1,1
effTrigger_mu_2016preVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2016preVFP,shape,1,1,1,1,1,1,1,1,1
eff_mu_2016preVFP,shape,1,1,1,1,1,1,1,1,1
eff_e_2016preVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_mu_2016postVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2016postVFP,shape,1,1,1,1,1,1,1,1,1
eff_mu_2016postVFP,shape,1,1,1,1,1,1,1,1,1
eff_e_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lf,shape,1,1,1,1,1,1,1,1,1
btag_hf,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2018,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2018,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2018,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2018,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2017,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2017,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2017,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2017,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_cferr1,shape,1,1,1,1,1,1,1,1,1
btag_cferr2,shape,1,1,1,1,1,1,1,1,1
PU,shape,1,1,1,1,1,1,1,1,1
JES,lnN,0.987/1.012,0.935/1.074,0.945/1.066,0.985/1.039,0.949/1.053,0.968/1.031,0.982/1.018,0.982/1.014,0.966/1.034
JER,lnN,1.0007/0.9991,1.00072/1.00075,1.0040/1.0045,1.0139/1.0113,1.0012/0.9986,1.0010/0.9984,1.0010/0.9991,1.0008/0.9991,1.0014/0.9989
FSR_ttH,shape,-,-,-,-,-,1,-,-,-
ISR_ttH,shape,-,-,-,-,-,1,-,-,-
ISR_ttcc,shape,-,1,1,-,1,-,-,-,-
ISR_ttlf,shape,-,1,1,-,1,-,-,-,-
FSR_ttcc,shape,-,1,1,-,1,-,-,-,-
FSR_ttlf,shape,-,1,1,-,1,-,-,-,-
FSR_ttbb,shape,-,1,1,-,1,-,-,-,-
ISR_ttbb,shape,-,1,1,-,1,-,-,-,-
PDF,shape,-,1,1,-,-,1,-,-,-
PDF_ttbbNLO,shape,-,-,-,-,1,-,-,-,-
scaleMuR,shape,-,1,1,-,1,-,-,-,-
scaleMuR_ttbbNLO,shape,-,1,1,-,1,-,-,-,-
scaleMuR_ttH,shape,-,-,-,-,-,1,-,-,-
scaleMuF,shape,-,1,1,-,1,-,-,-,-
scaleMuF_ttbbNLO,shape,-,1,1,-,1,-,-,-,-
scaleMuF_ttH,shape,-,-,-,-,-,1,-,-,-
